node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD247	CD28	9606.ENSP00000354782	9606.ENSP00000324890	0	0	0	0	0.170	0.213	0.900	0.944	0.995
CD247	CD86	9606.ENSP00000354782	9606.ENSP00000332049	0	0	0	0	0.158	0	0.900	0.544	0.958
CD247	PDCD1	9606.ENSP00000354782	9606.ENSP00000335062	0	0	0	0	0.157	0	0.900	0.537	0.957
CD247	LCK	9606.ENSP00000354782	9606.ENSP00000337825	0	0	0	0	0.347	0.876	0.900	0.970	0.999
CD247	GRAP2	9606.ENSP00000354782	9606.ENSP00000339186	0	0	0	0	0.314	0	0.900	0.438	0.958
CD247	PTPN11	9606.ENSP00000354782	9606.ENSP00000340944	0	0	0	0	0.063	0.109	0.900	0.732	0.974
CD247	FYN	9606.ENSP00000354782	9606.ENSP00000346671	0	0	0	0	0.097	0.470	0.900	0.875	0.993
CD247	TNFRSF4	9606.ENSP00000354782	9606.ENSP00000368538	0	0	0	0	0.111	0	0	0.835	0.847
CD247	CD274	9606.ENSP00000354782	9606.ENSP00000370989	0	0	0	0	0.062	0	0.900	0.608	0.960
CD247	ITK	9606.ENSP00000354782	9606.ENSP00000398655	0	0	0	0	0.741	0.056	0.900	0.517	0.986
CD247	CD8A	9606.ENSP00000354782	9606.ENSP00000386559	0	0	0	0	0.357	0	0.900	0.929	0.995
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0.062	0	0.900	0.887	0.988
CD274	IL2	9606.ENSP00000370989	9606.ENSP00000226730	0	0	0	0	0	0	0	0.802	0.802
CD274	CD80	9606.ENSP00000370989	9606.ENSP00000264246	0	0	0	0.589	0.183	0.890	0.800	0.992	0.988
CD274	CTLA4	9606.ENSP00000370989	9606.ENSP00000303939	0	0	0	0	0.062	0.417	0	0.978	0.987
CD274	CD28	9606.ENSP00000370989	9606.ENSP00000324890	0	0	0	0	0.062	0	0	0.923	0.925
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0	0	0	0.062	0.976	0.800	0.995	0.999
CD274	LCK	9606.ENSP00000370989	9606.ENSP00000337825	0	0	0	0	0.062	0	0.600	0.391	0.751
CD274	PTPN11	9606.ENSP00000370989	9606.ENSP00000340944	0	0	0	0	0.062	0.270	0.600	0.919	0.974
CD274	CD40	9606.ENSP00000370989	9606.ENSP00000361359	0	0	0	0	0.173	0	0	0.785	0.814
CD274	FOXP3	9606.ENSP00000370989	9606.ENSP00000365380	0	0	0	0	0	0	0	0.865	0.865
CD274	TNFRSF4	9606.ENSP00000370989	9606.ENSP00000368538	0	0	0	0	0.088	0	0	0.739	0.751
CD274	ITGAX	9606.ENSP00000370989	9606.ENSP00000454623	0	0	0	0	0.063	0	0	0.730	0.737
CD274	ITGAM	9606.ENSP00000370989	9606.ENSP00000441691	0	0	0	0	0.083	0	0	0.733	0.745
CD274	CD8A	9606.ENSP00000370989	9606.ENSP00000386559	0	0	0	0	0.062	0	0	0.881	0.883
CD276	CD4	9606.ENSP00000320084	9606.ENSP00000011653	0	0	0	0	0	0	0	0.832	0.832
CD276	IL2	9606.ENSP00000320084	9606.ENSP00000226730	0	0	0	0	0	0	0	0.735	0.735
CD276	CTLA4	9606.ENSP00000320084	9606.ENSP00000303939	0	0	0	0	0.062	0	0	0.988	0.989
CD276	FOXP3	9606.ENSP00000320084	9606.ENSP00000365380	0	0	0	0	0	0	0	0.702	0.702
CD276	ITGAX	9606.ENSP00000320084	9606.ENSP00000454623	0	0	0	0	0	0	0	0.703	0.703
CD276	TNFRSF4	9606.ENSP00000320084	9606.ENSP00000368538	0	0	0	0	0	0	0	0.739	0.739
CD276	CD8A	9606.ENSP00000320084	9606.ENSP00000386559	0	0	0	0	0	0	0	0.806	0.806
CD276	CD40	9606.ENSP00000320084	9606.ENSP00000361359	0	0	0	0	0.062	0	0	0.951	0.952
CD276	CD28	9606.ENSP00000320084	9606.ENSP00000324890	0	0	0	0	0.062	0	0	0.969	0.970
CD28	ITGA3	9606.ENSP00000324890	9606.ENSP00000007722	0	0	0	0	0	0	0.900	0.051	0.901
CD28	CD4	9606.ENSP00000324890	9606.ENSP00000011653	0	0	0	0	0.169	0.213	0.900	0.948	0.996
CD28	ITGB8	9606.ENSP00000324890	9606.ENSP00000222573	0	0	0	0	0	0	0.900	0.079	0.904
CD28	IL2	9606.ENSP00000324890	9606.ENSP00000226730	0	0	0	0	0.063	0	0	0.912	0.914
CD28	ITGAV	9606.ENSP00000324890	9606.ENSP00000261023	0	0	0	0	0	0	0.900	0.157	0.912
CD28	ITGAE	9606.ENSP00000324890	9606.ENSP00000263087	0	0	0	0	0	0	0.720	0.607	0.885
CD28	CD80	9606.ENSP00000324890	9606.ENSP00000264246	0	0	0	0	0.063	0.624	0.900	0.990	0.999
CD28	ITGB7	9606.ENSP00000324890	9606.ENSP00000267082	0	0	0	0	0.197	0	0.900	0.310	0.939
CD28	ITGA1	9606.ENSP00000324890	9606.ENSP00000282588	0	0	0	0	0	0	0.900	0.202	0.916
CD28	ITGB6	9606.ENSP00000324890	9606.ENSP00000283249	0	0	0	0	0.062	0	0.900	0	0.902
CD28	ITGA5	9606.ENSP00000324890	9606.ENSP00000293379	0	0	0	0	0	0	0.900	0.172	0.913
CD28	ITGB5	9606.ENSP00000324890	9606.ENSP00000296181	0	0	0	0	0	0	0.900	0	0.900
CD28	ITGA2	9606.ENSP00000324890	9606.ENSP00000296585	0	0	0	0	0	0	0.900	0.417	0.939
CD28	JAM3	9606.ENSP00000324890	9606.ENSP00000299106	0	0	0	0	0	0	0.900	0.042	0.900
CD28	CTLA4	9606.ENSP00000324890	9606.ENSP00000303939	0	0	0	0.689	0.127	0	0.900	0.983	0.936
CD28	PDCD1	9606.ENSP00000324890	9606.ENSP00000335062	0	0	0	0	0.107	0	0	0.718	0.738
CD28	FYN	9606.ENSP00000324890	9606.ENSP00000346671	0	0	0	0	0.053	0.056	0.500	0.622	0.808
CD28	ENSP00000483732	9606.ENSP00000324890	9606.ENSP00000483732	0	0	0	0	0	0	0	0.869	0.869
CD28	FOXP3	9606.ENSP00000324890	9606.ENSP00000365380	0	0	0	0	0	0.063	0	0.878	0.881
CD28	ITGA8	9606.ENSP00000324890	9606.ENSP00000367316	0	0	0	0	0	0	0.900	0.049	0.900
CD28	ITGA11	9606.ENSP00000324890	9606.ENSP00000327290	0	0	0	0	0	0	0.900	0	0.900
CD28	ITGA10	9606.ENSP00000324890	9606.ENSP00000358310	0	0	0	0	0	0	0.900	0	0.900
CD28	JAM2	9606.ENSP00000324890	9606.ENSP00000383376	0	0	0	0	0	0	0.900	0.058	0.901
CD28	ITGAD	9606.ENSP00000324890	9606.ENSP00000373854	0	0	0	0	0	0	0.900	0.164	0.912
CD28	ITGB3	9606.ENSP00000324890	9606.ENSP00000452786	0	0	0	0	0.063	0	0.900	0.156	0.914
CD28	TNFRSF4	9606.ENSP00000324890	9606.ENSP00000368538	0	0	0	0	0.062	0	0	0.914	0.916
CD28	ITGAM	9606.ENSP00000324890	9606.ENSP00000441691	0	0	0	0	0.067	0	0.720	0.722	0.921
CD28	ITGAX	9606.ENSP00000324890	9606.ENSP00000454623	0	0	0	0	0.069	0	0.720	0.739	0.926
CD28	ITGB1	9606.ENSP00000324890	9606.ENSP00000379350	0	0	0	0	0.063	0	0.900	0.407	0.939
CD28	ITGB2	9606.ENSP00000324890	9606.ENSP00000380948	0	0	0	0	0.118	0	0.900	0.391	0.941
CD28	CD40	9606.ENSP00000324890	9606.ENSP00000361359	0	0	0	0	0.062	0	0	0.950	0.951
CD28	ITGAL	9606.ENSP00000324890	9606.ENSP00000349252	0	0	0	0	0.150	0	0.900	0.635	0.966
CD28	FLNA	9606.ENSP00000324890	9606.ENSP00000358866	0	0	0	0	0	0	0	0.968	0.968
CD28	GRAP2	9606.ENSP00000324890	9606.ENSP00000339186	0	0	0	0	0.174	0.817	0.600	0.722	0.981
CD28	ITGA4	9606.ENSP00000324890	9606.ENSP00000380227	0	0	0	0	0.120	0	0.900	0.804	0.981
CD28	ITK	9606.ENSP00000324890	9606.ENSP00000398655	0	0	0	0	0.259	0.225	0.900	0.825	0.988
CD28	CD8A	9606.ENSP00000324890	9606.ENSP00000386559	0	0	0	0	0.086	0	0.900	0.917	0.991
CD28	GRB2	9606.ENSP00000324890	9606.ENSP00000376345	0	0	0	0	0.062	0.875	0.900	0.974	0.999
CD28	LCK	9606.ENSP00000324890	9606.ENSP00000337825	0	0	0	0	0.195	0.225	0.900	0.987	0.999
CD28	CD86	9606.ENSP00000324890	9606.ENSP00000332049	0	0	0	0	0.099	0.708	0.900	0.990	0.999
CD4	ENSP00000483732	9606.ENSP00000011653	9606.ENSP00000483732	0	0	0	0	0.062	0	0	0.717	0.723
CD4	ITGA2	9606.ENSP00000011653	9606.ENSP00000296585	0	0	0	0	0.055	0	0	0.729	0.733
CD4	ITGA4	9606.ENSP00000011653	9606.ENSP00000380227	0	0	0	0	0.109	0	0	0.743	0.762
CD4	ITGAL	9606.ENSP00000011653	9606.ENSP00000349252	0	0	0	0	0.208	0	0	0.738	0.784
CD4	TNFRSF4	9606.ENSP00000011653	9606.ENSP00000368538	0	0	0	0	0.139	0	0	0.810	0.829
CD4	ITGAE	9606.ENSP00000011653	9606.ENSP00000263087	0	0	0	0	0	0	0	0.843	0.843
CD4	IL2	9606.ENSP00000011653	9606.ENSP00000226730	0	0	0	0	0	0	0	0.918	0.918
CD4	FOXP3	9606.ENSP00000011653	9606.ENSP00000365380	0	0	0	0	0.076	0	0	0.919	0.922
CD4	CTLA4	9606.ENSP00000011653	9606.ENSP00000303939	0	0	0	0	0.132	0	0	0.920	0.927
CD4	FLNA	9606.ENSP00000011653	9606.ENSP00000358866	0	0	0	0	0	0	0	0.937	0.937
CD4	ITGAM	9606.ENSP00000011653	9606.ENSP00000441691	0	0	0	0	0.287	0	0	0.933	0.950
CD4	PTPN11	9606.ENSP00000011653	9606.ENSP00000340944	0	0	0	0	0.064	0	0.900	0.521	0.951
CD4	ITGAX	9606.ENSP00000011653	9606.ENSP00000454623	0	0	0	0	0.159	0	0	0.946	0.952
CD4	GRAP2	9606.ENSP00000011653	9606.ENSP00000339186	0	0	0	0	0.533	0	0.900	0.394	0.969
CD4	PDCD1	9606.ENSP00000011653	9606.ENSP00000335062	0	0	0	0	0.098	0	0.900	0.834	0.983
CD4	ITK	9606.ENSP00000011653	9606.ENSP00000398655	0	0	0	0	0.660	0.057	0.900	0.647	0.987
CD4	CD40	9606.ENSP00000011653	9606.ENSP00000361359	0	0	0	0	0.082	0	0	0.987	0.988
CD4	FYN	9606.ENSP00000011653	9606.ENSP00000346671	0	0	0	0	0.062	0.057	0.900	0.915	0.991
CD4	CD8A	9606.ENSP00000011653	9606.ENSP00000386559	0	0	0	0	0.116	0.369	0.900	0.919	0.994
CD4	CD80	9606.ENSP00000011653	9606.ENSP00000264246	0	0	0	0	0.100	0	0.900	0.944	0.994
CD4	CD86	9606.ENSP00000011653	9606.ENSP00000332049	0	0	0	0	0.291	0	0.900	0.937	0.995
CD4	LCK	9606.ENSP00000011653	9606.ENSP00000337825	0	0	0	0	0.110	0.976	0.900	0.990	0.999
CD40	IL2	9606.ENSP00000361359	9606.ENSP00000226730	0	0	0	0	0	0	0	0.802	0.802
CD40	CD80	9606.ENSP00000361359	9606.ENSP00000264246	0	0	0	0	0.122	0	0	0.950	0.954
CD40	CTLA4	9606.ENSP00000361359	9606.ENSP00000303939	0	0	0	0	0.062	0	0	0.963	0.964
CD40	CD86	9606.ENSP00000361359	9606.ENSP00000332049	0	0	0	0	0.119	0	0	0.948	0.952
CD40	ENSP00000483732	9606.ENSP00000361359	9606.ENSP00000483732	0	0	0	0	0.063	0	0	0.732	0.738
CD40	FOXP3	9606.ENSP00000361359	9606.ENSP00000365380	0	0	0	0	0	0	0	0.773	0.773
CD40	ITGAM	9606.ENSP00000361359	9606.ENSP00000441691	0	0	0	0	0.090	0	0	0.806	0.816
CD40	CD8A	9606.ENSP00000361359	9606.ENSP00000386559	0	0	0	0	0.062	0	0	0.865	0.868
CD40	ITGAX	9606.ENSP00000361359	9606.ENSP00000454623	0	0	0	0	0.089	0	0	0.883	0.889
CD80	ITGA3	9606.ENSP00000264246	9606.ENSP00000007722	0	0	0	0	0	0	0.900	0.088	0.904
CD80	ITGB8	9606.ENSP00000264246	9606.ENSP00000222573	0	0	0	0	0.065	0	0.900	0.089	0.907
CD80	IL2	9606.ENSP00000264246	9606.ENSP00000226730	0	0	0	0	0	0	0	0.829	0.829
CD80	ITGAV	9606.ENSP00000264246	9606.ENSP00000261023	0	0	0	0	0	0	0.900	0.207	0.917
CD80	ITGAE	9606.ENSP00000264246	9606.ENSP00000263087	0	0	0	0	0	0	0.720	0.683	0.907
CD80	GRAP2	9606.ENSP00000264246	9606.ENSP00000339186	0	0	0	0	0.117	0	0.600	0.227	0.703
CD80	FOXP3	9606.ENSP00000264246	9606.ENSP00000365380	0	0	0	0	0	0	0	0.833	0.833
CD80	TNFRSF4	9606.ENSP00000264246	9606.ENSP00000368538	0	0	0	0	0.141	0	0	0.825	0.844
CD80	ITGA8	9606.ENSP00000264246	9606.ENSP00000367316	0	0	0	0	0	0	0.900	0	0.900
CD80	JAM3	9606.ENSP00000264246	9606.ENSP00000299106	0	0	0	0	0	0	0.900	0.044	0.900
CD80	ITGA11	9606.ENSP00000264246	9606.ENSP00000327290	0	0	0	0	0	0	0.900	0	0.900
CD80	ITGA10	9606.ENSP00000264246	9606.ENSP00000358310	0	0	0	0	0	0	0.900	0	0.900
CD80	JAM2	9606.ENSP00000264246	9606.ENSP00000383376	0	0	0	0	0	0	0.900	0	0.900
CD80	ITGB5	9606.ENSP00000264246	9606.ENSP00000296181	0	0	0	0	0.065	0	0.900	0.061	0.904
CD80	ITGB6	9606.ENSP00000264246	9606.ENSP00000283249	0	0	0	0	0.083	0	0.900	0.062	0.906
CD80	ITGA5	9606.ENSP00000264246	9606.ENSP00000293379	0	0	0	0	0.062	0	0.900	0.163	0.914
CD80	ITGA1	9606.ENSP00000264246	9606.ENSP00000282588	0	0	0	0	0	0	0.900	0.194	0.915
CD80	ITGB7	9606.ENSP00000264246	9606.ENSP00000267082	0	0	0	0	0.128	0	0.900	0.219	0.926
CD80	ITGB3	9606.ENSP00000264246	9606.ENSP00000452786	0	0	0	0	0.094	0	0.900	0.249	0.926
CD80	GRB2	9606.ENSP00000264246	9606.ENSP00000376345	0	0	0	0	0.063	0	0.900	0.291	0.927
CD80	ITGAD	9606.ENSP00000264246	9606.ENSP00000373854	0	0	0	0	0	0	0.900	0.323	0.929
CD80	ITK	9606.ENSP00000264246	9606.ENSP00000398655	0	0	0	0	0.076	0	0.900	0.341	0.933
CD80	ITGA2	9606.ENSP00000264246	9606.ENSP00000296585	0	0	0	0	0	0	0.900	0.440	0.941
CD80	LCK	9606.ENSP00000264246	9606.ENSP00000337825	0	0	0	0	0.062	0	0.900	0.470	0.945
CD80	ITGA4	9606.ENSP00000264246	9606.ENSP00000380227	0	0	0	0	0.076	0	0.900	0.467	0.946
CD80	PTPN11	9606.ENSP00000264246	9606.ENSP00000340944	0	0	0	0	0.087	0	0.900	0.463	0.946
CD80	ITGB2	9606.ENSP00000264246	9606.ENSP00000380948	0	0	0	0	0.282	0	0.900	0.412	0.954
CD80	ITGB1	9606.ENSP00000264246	9606.ENSP00000379350	0	0	0	0	0.094	0	0.900	0.565	0.957
CD80	ITGAM	9606.ENSP00000264246	9606.ENSP00000441691	0	0	0	0	0.139	0	0.720	0.848	0.960
CD80	ITGAL	9606.ENSP00000264246	9606.ENSP00000349252	0	0	0	0	0.111	0	0.900	0.611	0.962
CD80	PDCD1	9606.ENSP00000264246	9606.ENSP00000335062	0	0	0	0	0.150	0.417	0	0.936	0.965
CD80	ITGAX	9606.ENSP00000264246	9606.ENSP00000454623	0	0	0	0	0.100	0	0.720	0.898	0.972
CD80	CD86	9606.ENSP00000264246	9606.ENSP00000332049	0	0	0	0.620	0.318	0.600	0.900	0.949	0.981
CD80	CD8A	9606.ENSP00000264246	9606.ENSP00000386559	0	0	0	0	0	0	0.900	0.897	0.989
CD80	CTLA4	9606.ENSP00000264246	9606.ENSP00000303939	0	0	0	0	0.085	0.950	0.900	0.991	0.999
CD86	IL2	9606.ENSP00000332049	9606.ENSP00000226730	0	0	0	0	0	0	0	0.816	0.816
CD86	ITGAE	9606.ENSP00000332049	9606.ENSP00000263087	0	0	0	0	0	0	0	0.707	0.707
CD86	CTLA4	9606.ENSP00000332049	9606.ENSP00000303939	0	0	0	0	0.130	0.954	0.900	0.989	0.999
CD86	GRAP2	9606.ENSP00000332049	9606.ENSP00000339186	0	0	0	0	0.127	0	0.600	0.227	0.706
CD86	ITGAL	9606.ENSP00000332049	9606.ENSP00000349252	0	0	0	0	0.308	0	0	0.618	0.725
CD86	PDCD1	9606.ENSP00000332049	9606.ENSP00000335062	0	0	0	0	0.156	0	0	0.689	0.726
CD86	TNFRSF4	9606.ENSP00000332049	9606.ENSP00000368538	0	0	0	0	0.143	0	0	0.790	0.812
CD86	FOXP3	9606.ENSP00000332049	9606.ENSP00000365380	0	0	0	0	0.062	0	0	0.834	0.837
CD86	GRB2	9606.ENSP00000332049	9606.ENSP00000376345	0	0	0	0	0	0	0.900	0.306	0.927
CD86	ITGAM	9606.ENSP00000332049	9606.ENSP00000441691	0	0	0	0	0.350	0	0	0.895	0.929
CD86	ITGAX	9606.ENSP00000332049	9606.ENSP00000454623	0	0	0	0	0.287	0	0	0.911	0.934
CD86	ITK	9606.ENSP00000332049	9606.ENSP00000398655	0	0	0	0	0.125	0	0.900	0.306	0.934
CD86	PTPN11	9606.ENSP00000332049	9606.ENSP00000340944	0	0	0	0	0	0	0.900	0.431	0.940
CD86	LCK	9606.ENSP00000332049	9606.ENSP00000337825	0	0	0	0	0.084	0	0.900	0.460	0.946
CD86	CD8A	9606.ENSP00000332049	9606.ENSP00000386559	0	0	0	0	0.088	0	0.900	0.872	0.987
CD8A	IL2	9606.ENSP00000386559	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.915	0.991
CD8A	ITGAE	9606.ENSP00000386559	9606.ENSP00000263087	0	0	0	0	0.062	0	0	0.839	0.842
CD8A	CTLA4	9606.ENSP00000386559	9606.ENSP00000303939	0	0	0	0	0.111	0	0	0.919	0.925
CD8A	PDCD1	9606.ENSP00000386559	9606.ENSP00000335062	0	0	0	0	0.098	0	0	0.856	0.864
CD8A	LCK	9606.ENSP00000386559	9606.ENSP00000337825	0	0	0	0	0.212	0.848	0.900	0.989	0.999
CD8A	GRAP2	9606.ENSP00000386559	9606.ENSP00000339186	0	0	0	0	0.120	0	0.900	0.342	0.937
CD8A	FYN	9606.ENSP00000386559	9606.ENSP00000346671	0	0	0	0	0.076	0.056	0.900	0.717	0.972
CD8A	ITGAL	9606.ENSP00000386559	9606.ENSP00000349252	0	0	0	0	0.137	0	0	0.720	0.748
CD8A	FOXP3	9606.ENSP00000386559	9606.ENSP00000365380	0	0	0	0	0.076	0	0	0.917	0.920
CD8A	TNFRSF4	9606.ENSP00000386559	9606.ENSP00000368538	0	0	0	0	0.076	0	0	0.760	0.769
CD8A	ITGA4	9606.ENSP00000386559	9606.ENSP00000380227	0	0	0	0	0	0	0	0.711	0.711
CD8A	ITK	9606.ENSP00000386559	9606.ENSP00000398655	0	0	0	0	0.346	0.056	0	0.595	0.728
CD8A	ITGAX	9606.ENSP00000386559	9606.ENSP00000454623	0	0	0	0	0.098	0	0	0.896	0.902
CD8A	ITGAM	9606.ENSP00000386559	9606.ENSP00000441691	0	0	0	0	0.128	0	0	0.896	0.906
CTLA4	ITGA3	9606.ENSP00000303939	9606.ENSP00000007722	0	0	0	0	0	0	0.900	0.107	0.906
CTLA4	ITGB8	9606.ENSP00000303939	9606.ENSP00000222573	0	0	0	0	0	0	0.900	0.123	0.908
CTLA4	IL2	9606.ENSP00000303939	9606.ENSP00000226730	0	0	0	0	0.083	0	0	0.914	0.918
CTLA4	ITGAV	9606.ENSP00000303939	9606.ENSP00000261023	0	0	0	0	0	0	0.900	0.195	0.916
CTLA4	ITGAE	9606.ENSP00000303939	9606.ENSP00000263087	0	0	0	0	0.062	0	0.720	0.710	0.917
CTLA4	ITGB7	9606.ENSP00000303939	9606.ENSP00000267082	0	0	0	0	0.118	0	0.900	0.326	0.935
CTLA4	ITGA1	9606.ENSP00000303939	9606.ENSP00000282588	0	0	0	0	0	0	0.900	0.294	0.926
CTLA4	ITGB6	9606.ENSP00000303939	9606.ENSP00000283249	0	0	0	0	0.062	0	0.900	0.046	0.902
CTLA4	ITGA5	9606.ENSP00000303939	9606.ENSP00000293379	0	0	0	0	0	0	0.900	0.193	0.915
CTLA4	ITGB5	9606.ENSP00000303939	9606.ENSP00000296181	0	0	0	0	0	0	0.900	0.056	0.901
CTLA4	ITGA2	9606.ENSP00000303939	9606.ENSP00000296585	0	0	0	0	0	0	0.900	0.458	0.943
CTLA4	JAM3	9606.ENSP00000303939	9606.ENSP00000299106	0	0	0	0	0	0	0.900	0.053	0.901
CTLA4	RUNX1	9606.ENSP00000303939	9606.ENSP00000300305	0	0	0	0	0	0.182	0.900	0.045	0.915
CTLA4	PDCD1	9606.ENSP00000303939	9606.ENSP00000335062	0	0	0	0	0.153	0	0	0.886	0.899
CTLA4	ITGA10	9606.ENSP00000303939	9606.ENSP00000358310	0	0	0	0	0	0	0.900	0	0.900
CTLA4	ITGA11	9606.ENSP00000303939	9606.ENSP00000327290	0	0	0	0	0	0	0.900	0	0.900
CTLA4	ITGA8	9606.ENSP00000303939	9606.ENSP00000367316	0	0	0	0	0	0	0.900	0	0.900
CTLA4	JAM2	9606.ENSP00000303939	9606.ENSP00000383376	0	0	0	0	0	0	0.900	0	0.900
CTLA4	ITGAD	9606.ENSP00000303939	9606.ENSP00000373854	0	0	0	0	0	0	0.900	0.074	0.903
CTLA4	TNFRSF4	9606.ENSP00000303939	9606.ENSP00000368538	0	0	0	0	0.117	0	0	0.894	0.904
CTLA4	ITGB3	9606.ENSP00000303939	9606.ENSP00000452786	0	0	0	0	0.062	0	0.900	0.183	0.916
CTLA4	ITGAM	9606.ENSP00000303939	9606.ENSP00000441691	0	0	0	0	0.076	0	0.720	0.739	0.926
CTLA4	ITGAX	9606.ENSP00000303939	9606.ENSP00000454623	0	0	0	0	0.077	0	0.720	0.743	0.927
CTLA4	FLNA	9606.ENSP00000303939	9606.ENSP00000358866	0	0	0	0	0	0	0	0.932	0.932
CTLA4	FYN	9606.ENSP00000303939	9606.ENSP00000346671	0	0	0	0	0.052	0.683	0.600	0.556	0.939
CTLA4	ITGB1	9606.ENSP00000303939	9606.ENSP00000379350	0	0	0	0	0.062	0	0.900	0.418	0.940
CTLA4	ITK	9606.ENSP00000303939	9606.ENSP00000398655	0	0	0	0	0.136	0.056	0	0.932	0.940
CTLA4	ITGB2	9606.ENSP00000303939	9606.ENSP00000380948	0	0	0	0	0.117	0	0.900	0.414	0.943
CTLA4	GRAP2	9606.ENSP00000303939	9606.ENSP00000339186	0	0	0	0	0.145	0	0	0.958	0.963
CTLA4	ITGAL	9606.ENSP00000303939	9606.ENSP00000349252	0	0	0	0	0.102	0	0.900	0.637	0.964
CTLA4	ITGA4	9606.ENSP00000303939	9606.ENSP00000380227	0	0	0	0	0.070	0	0.900	0.739	0.973
CTLA4	PPP2R4	9606.ENSP00000303939	9606.ENSP00000377036	0	0	0	0	0	0	0	0.987	0.987
CTLA4	GRB2	9606.ENSP00000303939	9606.ENSP00000376345	0	0	0	0	0.062	0	0	0.988	0.988
CTLA4	ENSP00000483732	9606.ENSP00000303939	9606.ENSP00000483732	0	0	0	0	0	0	0	0.989	0.989
